Dut_No,Site_No,Dut_Pass,SW_Bin,Data_Num,OS_EN,PIN3_SW,PIN4_VIN,PIN5_POK,PIN6_FB,En_AbsMax,Vin_AbsMax,Pok_AbsMax,Fb_AbsMax,Isw_0V,Isw_5V5,Iq,Isd,RDSON_N,RDSON_P,Pre_Vfb,code_Vfb,Post_Vfb,Pre_Ibias,Pre_clock,Post_Ibias,Post_clock,Vin_UVLO_H,Vin_UVLO_L,Vin_UVLO_Hys,Vin_OVP_H,Vin_OVP_L,Vin_OVP_Hys,VFB_H_POK,VFB_L_POK,Ipok,EN_H,EN_L,PFET_BV,NFET_BV,Isw1_0V,Post_5V5,Isd1,Lock_Check,PIN1_EN_check,PIN3_SW_check,PIN4_VIN_check,PIN5_POK_check,PIN6_FB_check
-1,-1,TRUE,-1,-1,-0.9,-0.9,-0.9,-0.9,-1.1,-0.5,-0.5,-0.5,0.05,-1,-1,30,-1,,,572,,590,-8.52,3.277,-8.52,3.277,2.3,2.2,100,6.6,6,320,641,499,20,30,-1,9,9,-1,-1,-1,-0.2,-0.9,-0.9,-0.9,-0.9,-1.1
0,0,FALSE,0,0,-0.2,-0.2,-0.2,-0.2,-0.7,0.5,0.5,0.5,0.25,1,1,100,1,,,628,,610,-3.58,4.915,-3.58,4.915,2.5,2.4,250,7.2,6.7,480,709,551,50,,1,,,1,1,1,0.2,-0.2,-0.2,-0.2,-0.2,-0.7
1,1,TRUE,1,46,-0.502,-0.372,-0.484,-0.629,-0.885,0.134,0.052,0.025,0.203,-0.024,0.039,65.144,0.105,169.974,-0.549,596,0,596,-4.38,3.986,-4.384,3.989,2.42,2.26,160,6.87,6.51,360,690,522,38.958,65.922,0.105,9.697,9.591,-0.063,0.059,0.037,0.063,-0.501,-0.371,-0.483,-0.648,-0.88
3,1,TRUE,1,46,-0.5,-0.37,-0.482,-0.629,-0.887,0.124,0.047,0.025,0.202,-0.027,0.041,65.022,0.098,154.516,-0.546,595,0,595,-4.412,3.921,-4.423,3.916,2.41,2.26,150,6.8,6.42,380,682,520,39.69,65.74,0.093,9.675,9.569,-0.066,0.059,0.042,0.06,-0.499,-0.369,-0.482,-0.644,-0.883
4,1,TRUE,1,46,-0.501,-0.371,-0.484,-0.64,-0.886,0.126,0.044,0.025,0.202,-0.025,0.04,63.75,0.093,164.76,-0.548,577,10,607,-4.535,3.935,-4.535,3.935,2.46,2.28,180,7.02,6.65,370,700,544,39.329,66.871,0.115,9.692,9.585,-0.064,0.059,0.038,0.058,-0.5,-0.37,-0.483,-0.647,-0.881
5,1,TRUE,1,46,-0.499,-0.371,-0.483,-0.641,-0.895,0.124,0.025,0.025,0.196,-0.026,0.041,63.045,0.098,177.09,-0.554,608,111,591,-4.156,4.086,-4.152,4.086,2.44,2.34,100,6.81,6.45,360,682,518,39.69,62.185,0.122,9.643,9.513,-0.067,0.059,0.036,0.055,-0.497,-0.369,-0.481,-0.646,-0.889
6,1,TRUE,1,46,-0.502,-0.371,-0.484,-0.642,-0.89,0.125,0.046,0.026,0.199,-0.029,0.033,64.654,0.097,166.846,-0.556,598,0,598,-4.348,4.017,-4.341,4.018,2.43,2.28,150,6.84,6.48,360,692,522,39.368,65.125,0.121,9.678,9.584,-0.069,0.058,0.037,0.064,-0.5,-0.37,-0.483,-0.646,-0.885
7,1,TRUE,1,46,-0.504,-0.374,-0.485,-0.628,-0.89,0.113,0.046,0.025,0.199,-0.031,0.035,64.654,0.096,169.315,-0.554,603,0,603,-4.413,4.018,-4.411,4.015,2.45,2.29,160,6.97,6.6,370,698,528,39.583,65.432,0.107,9.694,9.572,-0.063,0.058,0.036,0.06,-0.502,-0.373,-0.484,-0.649,-0.885
9,1,TRUE,1,46,-0.503,-0.372,-0.484,-0.616,-0.888,0.121,0.05,0.026,0.198,-0.021,0.042,65.052,0.096,171.692,-0.553,596,0,596,-4.329,4.051,-4.345,4.048,2.42,2.27,150,6.85,6.49,360,692,520,39.452,65.585,0.116,9.697,9.596,-0.061,0.059,0.037,0.046,-0.502,-0.371,-0.484,-0.649,-0.885
10,1,TRUE,1,46,-0.502,-0.371,-0.485,-0.641,-0.89,0.123,0.039,0.025,0.2,-0.037,0.037,65.451,0.091,159.991,-0.555,613,111,597,-4.326,4.056,-4.331,4.054,2.48,2.38,100,6.87,6.49,380,688,524,39.607,64.564,0.105,9.678,9.59,-0.068,0.059,0.041,0.052,-0.501,-0.37,-0.483,-0.648,-0.884
